src_port,dst_port,length,protocol,tcp_flags,ttl
5353.0,5353.0,119.0,17.0,0.0,255.0
5353.0,5353.0,392.0,17.0,0.0,255.0
5353.0,5353.0,113.0,17.0,0.0,255.0
5353.0,5353.0,392.0,17.0,0.0,255.0
5353.0,5353.0,356.0,17.0,0.0,255.0
5353.0,5353.0,104.0,17.0,0.0,255.0
5353.0,5353.0,474.0,17.0,0.0,255.0
5353.0,5353.0,106.0,17.0,0.0,255.0
5353.0,5353.0,1087.0,17.0,0.0,255.0
63195.0,1900.0,179.0,17.0,0.0,4.0
5353.0,5353.0,113.0,17.0,0.0,255.0
5353.0,5353.0,106.0,17.0,0.0,255.0
5353.0,5353.0,1087.0,17.0,0.0,255.0
49162.0,4501.0,162.0,17.0,0.0,128.0
4501.0,49162.0,162.0,17.0,0.0,53.0
137.0,137.0,110.0,17.0,0.0,64.0
137.0,137.0,110.0,17.0,0.0,64.0
137.0,137.0,110.0,17.0,0.0,64.0
137.0,137.0,110.0,17.0,0.0,64.0
137.0,137.0,110.0,17.0,0.0,64.0
137.0,137.0,110.0,17.0,0.0,64.0
137.0,137.0,110.0,17.0,0.0,64.0
137.0,137.0,110.0,17.0,0.0,64.0
137.0,137.0,110.0,17.0,0.0,64.0
137.0,137.0,110.0,17.0,0.0,64.0
137.0,137.0,110.0,17.0,0.0,64.0
137.0,137.0,110.0,17.0,0.0,64.0
137.0,137.0,110.0,17.0,0.0,64.0
137.0,137.0,110.0,17.0,0.0,64.0
137.0,137.0,110.0,17.0,0.0,64.0
137.0,137.0,110.0,17.0,0.0,64.0
137.0,137.0,110.0,17.0,0.0,64.0
137.0,137.0,110.0,17.0,0.0,64.0
137.0,137.0,110.0,17.0,0.0,64.0
137.0,137.0,110.0,17.0,0.0,64.0
5353.0,5353.0,262.0,17.0,0.0,255.0
5353.0,5353.0,407.0,17.0,0.0,255.0
5353.0,5353.0,104.0,17.0,0.0,255.0
5353.0,5353.0,474.0,17.0,0.0,255.0
5353.0,5353.0,119.0,17.0,0.0,255.0
5353.0,5353.0,106.0,17.0,0.0,255.0
443.0,52064.0,122.0,17.0,0.0,57.0
52064.0,443.0,75.0,17.0,0.0,128.0
35545.0,1900.0,362.0,17.0,0.0,4.0
36911.0,1900.0,418.0,17.0,0.0,4.0
51635.0,1900.0,371.0,17.0,0.0,4.0
138.0,138.0,255.0,17.0,0.0,64.0
39313.0,1900.0,428.0,17.0,0.0,4.0
5353.0,5353.0,119.0,17.0,0.0,255.0
60804.0,1900.0,416.0,17.0,0.0,4.0
44024.0,1900.0,426.0,17.0,0.0,4.0
5353.0,5353.0,392.0,17.0,0.0,255.0
137.0,137.0,110.0,17.0,0.0,64.0
137.0,137.0,110.0,17.0,0.0,64.0
137.0,137.0,110.0,17.0,0.0,64.0
137.0,137.0,110.0,17.0,0.0,64.0
137.0,137.0,110.0,17.0,0.0,64.0
138.0,138.0,255.0,17.0,0.0,64.0
5353.0,5353.0,119.0,17.0,0.0,255.0
5353.0,5353.0,392.0,17.0,0.0,255.0
5353.0,5353.0,113.0,17.0,0.0,255.0
5353.0,5353.0,392.0,17.0,0.0,255.0
5353.0,5353.0,356.0,17.0,0.0,255.0
5353.0,5353.0,104.0,17.0,0.0,255.0
5353.0,5353.0,474.0,17.0,0.0,255.0
5353.0,5353.0,106.0,17.0,0.0,255.0
5353.0,5353.0,1087.0,17.0,0.0,255.0
49162.0,4501.0,162.0,17.0,0.0,128.0
4501.0,49162.0,194.0,17.0,0.0,53.0
137.0,137.0,110.0,17.0,0.0,64.0
137.0,137.0,110.0,17.0,0.0,64.0
137.0,137.0,110.0,17.0,0.0,64.0
137.0,137.0,110.0,17.0,0.0,64.0
137.0,137.0,110.0,17.0,0.0,64.0
59151.0,1900.0,167.0,17.0,0.0,255.0
137.0,137.0,110.0,17.0,0.0,64.0
137.0,137.0,110.0,17.0,0.0,64.0
137.0,137.0,110.0,17.0,0.0,64.0
137.0,137.0,110.0,17.0,0.0,64.0
137.0,137.0,110.0,17.0,0.0,64.0
443.0,51195.0,159.0,6.0,24.0,55.0
51195.0,443.0,54.0,6.0,16.0,128.0
5353.0,5353.0,113.0,17.0,0.0,255.0
5353.0,5353.0,1087.0,17.0,0.0,255.0
5353.0,5353.0,262.0,17.0,0.0,255.0
5353.0,5353.0,356.0,17.0,0.0,255.0
5353.0,5353.0,474.0,17.0,0.0,255.0
5353.0,5353.0,407.0,17.0,0.0,255.0
62434.0,443.0,55.0,6.0,16.0,128.0
443.0,62434.0,66.0,6.0,16.0,53.0
5353.0,5353.0,123.0,17.0,0.0,255.0
5353.0,5353.0,104.0,17.0,0.0,255.0
5353.0,5353.0,104.0,17.0,0.0,255.0
5353.0,5353.0,119.0,17.0,0.0,255.0
138.0,138.0,255.0,17.0,0.0,64.0
137.0,137.0,110.0,17.0,0.0,64.0
137.0,137.0,110.0,17.0,0.0,64.0
137.0,137.0,110.0,17.0,0.0,64.0
137.0,137.0,110.0,17.0,0.0,64.0
137.0,137.0,110.0,17.0,0.0,64.0
137.0,137.0,110.0,17.0,0.0,64.0
137.0,137.0,110.0,17.0,0.0,64.0
137.0,137.0,110.0,17.0,0.0,64.0
137.0,137.0,110.0,17.0,0.0,64.0
137.0,137.0,110.0,17.0,0.0,64.0
5353.0,5353.0,392.0,17.0,0.0,255.0
138.0,138.0,255.0,17.0,0.0,64.0
5353.0,5353.0,119.0,17.0,0.0,255.0
137.0,137.0,110.0,17.0,0.0,64.0
137.0,137.0,110.0,17.0,0.0,64.0
137.0,137.0,110.0,17.0,0.0,64.0
137.0,137.0,110.0,17.0,0.0,64.0
137.0,137.0,110.0,17.0,0.0,64.0
138.0,138.0,255.0,17.0,0.0,64.0
137.0,137.0,110.0,17.0,0.0,64.0
137.0,137.0,110.0,17.0,0.0,64.0
137.0,137.0,110.0,17.0,0.0,64.0
137.0,137.0,110.0,17.0,0.0,64.0
137.0,137.0,110.0,17.0,0.0,64.0
138.0,138.0,255.0,17.0,0.0,64.0
5353.0,5353.0,392.0,17.0,0.0,255.0
51880.0,443.0,113.0,6.0,24.0,128.0
5353.0,5353.0,119.0,17.0,0.0,255.0
443.0,51880.0,60.0,6.0,16.0,55.0
137.0,137.0,110.0,17.0,0.0,64.0
137.0,137.0,110.0,17.0,0.0,64.0
137.0,137.0,110.0,17.0,0.0,64.0
137.0,137.0,110.0,17.0,0.0,64.0
137.0,137.0,110.0,17.0,0.0,64.0
5353.0,5353.0,392.0,17.0,0.0,255.0
5353.0,5353.0,113.0,17.0,0.0,255.0
5353.0,5353.0,474.0,17.0,0.0,255.0
137.0,137.0,110.0,17.0,0.0,64.0
137.0,137.0,110.0,17.0,0.0,64.0
137.0,137.0,110.0,17.0,0.0,64.0
137.0,137.0,110.0,17.0,0.0,64.0
137.0,137.0,110.0,17.0,0.0,64.0
5353.0,5353.0,356.0,17.0,0.0,255.0
5353.0,5353.0,123.0,17.0,0.0,255.0
5353.0,5353.0,1087.0,17.0,0.0,255.0
5353.0,5353.0,113.0,17.0,0.0,255.0
5353.0,5353.0,1087.0,17.0,0.0,255.0
56365.0,1900.0,362.0,17.0,0.0,4.0
56137.0,1900.0,418.0,17.0,0.0,4.0
47571.0,1900.0,371.0,17.0,0.0,4.0
53722.0,1900.0,428.0,17.0,0.0,4.0
54003.0,1900.0,416.0,17.0,0.0,4.0
46095.0,1900.0,426.0,17.0,0.0,4.0
5353.0,5353.0,262.0,17.0,0.0,255.0
137.0,137.0,110.0,17.0,0.0,64.0
137.0,137.0,110.0,17.0,0.0,64.0
137.0,137.0,110.0,17.0,0.0,64.0
137.0,137.0,110.0,17.0,0.0,64.0
137.0,137.0,110.0,17.0,0.0,64.0
137.0,137.0,110.0,17.0,0.0,64.0
137.0,137.0,110.0,17.0,0.0,64.0
137.0,137.0,110.0,17.0,0.0,64.0
137.0,137.0,110.0,17.0,0.0,64.0
